division,miles_from_MA_border_nb,miles_from_div_start_nb,location,elevation_ft,elevation_m,miles_from_div_start_sb
division5,104.5,24.0,U.S. 4 west of Sherburne Pass,1880.0,573.0,0.0
division6,105.5,1.0,Maine Junction (AT),2250.0,686.0,18.9
division6,105.9,1.4,Tucker Johnson Shelter,2250.0,686.0,18.5
division6,107.7,3.2,Elbow Road,1951.0,595.0,16.7
division6,109.4,4.9,Rolston Rest Shelter,2240.0,683.0,15.0
division6,113.5,9.0,Green Road / N Pond Snowmobile Trail,2500.0,762.0,10.9
division6,115.4,10.9,Telephone Gap,2300.0,701.0,9.0
division6,116.4,11.9,New Boston Trail / David Logan Shelter,2760.0,841.0,8.0
division6,117.8,13.3,Wetmore Gap,2600.0,792.0,6.6
division6,118.5,14.0,Bloodroot Mountain,2900.0,884.0,5.9
division6,120.1,15.6,Bloodroot Gap,3110.0,948.0,4.3
division6,120.6,16.1,Farr Peak,3150.0,960.0,3.8
division6,121.9,17.4,Sunrise Shelter,3000.0,914.0,2.5
division6,122.1,17.6,Chittenden Brook Trail,2951.0,899.0,2.3
division6,124.4,19.9,Vt. 73 at Brandon Gap,2183.0,665.0,0.0
division7,125.1,0.7,Great Cliff of Mt. Horrid,2760.0,841.0,21.8
division7,125.7,1.3,Mt. Horrid,3216.0,980.0,21.2
division7,126.2,1.8,Cape Lookoff Mountain,3320.0,1012.0,20.7
division7,127.7,3.3,Gillespie Peak,3366.0,1026.0,19.2
division7,128.5,4.1,Romance Mountain,3125.0,953.0,18.4
division7,128.9,4.5,Romance Gap,2685.0,818.0,18.0
division7,129.8,5.4,Sucker Brook Trail,2440.0,744.0,17.1
division7,131.6,7.2,Worth Mountain,3234.0,986.0,15.3
division7,133.3,8.9,Middlebury Snow Bowl,2640.0,805.0,13.6
division7,133.9,9.5,Lake Pleiad,2150.0,655.0,13.0
division7,134.3,9.9,Vt. 125 at Middlebury Gap,2144.0,653.0,12.6
division7,134.7,10.3,Silent Cliff Trail,2480.0,756.0,12.2
division7,136.8,12.4,Burnt Hill Trail,2950.0,899.0,10.1
division7,137.4,13.0,Boyce Shelter,3020.0,920.0,9.5
division7,138.3,13.9,Mt. Boyce,3323.0,1013.0,8.6
division7,139.3,14.9,Battell Mountain,3460.0,1055.0,7.6
division7,139.4,15.0,Skylight Pond Trail,3420.0,1042.0,7.5
division7,140.6,16.2,Bread Loaf Mountain,3835.0,1169.0,6.3
division7,141.2,16.8,Emily Proctor Shelter,3460.0,1055.0,5.7
division7,142.1,17.7,Mt. Wilson,3745.0,1141.0,4.8
division7,142.9,18.5,Clark Brook Trail,3390.0,1033.0,4.0
division7,143.3,18.9,Mt. Roosevelt,3530.0,1074.0,3.6
division7,144.7,20.3,Little Hans Peak,3348.0,1020.0,2.2
division7,146.4,22.0,Mt. Cleveland,3482.0,1061.0,0.5
division7,146.9,22.5,Cooley Glen Trail / Shelter,3130.0,954.0,0.0
division8,147.7,0.8,Mt. Grant,3623.0,1104.0,18.1
division8,150.5,3.6,Sunset Ledge,2811.0,857.0,15.3
division8,151.6,4.7,Lincoln Gap Road at Lincoln Gap,2424.0,739.0,14.2
division8,153.3,6.4,Battell Trail to USFS Road 350,3220.0,982.0,12.5
division8,153.4,6.5,Battell Shelter,3240.0,988.0,12.4
division8,154.2,7.3,Mt. Abraham,4006.0,1221.0,11.6
division8,155.0,8.1,Lincoln Peak,3975.0,1212.0,10.8
division8,155.6,8.7,Nancy Hanks Peak,3800.0,1158.0,10.2
division8,156.3,9.4,Castlerock chairlift,3750.0,1144.0,9.5
division8,157.5,10.6,Cutts Peak,4020.0,1225.0,8.3
division8,157.9,11.0,Mt. Ellen,4083.0,1245.0,7.9
division8,158.3,11.4,Green Mountain National Forest North Boundary,3800.0,1159.0,7.5
division8,159.7,12.8,Jerusalem Trail,3430.0,1046.0,6.1
division8,159.8,12.9,Barton Trail,3430.0,1046.0,6.0
division8,160.1,13.2,General Stark Mountain,3662.0,1116.0,5.7
division8,160.7,13.8,Stark’s Nest,3644.0,1111.0,5.1
